"is_bot","follower_follow_rate","post_rate","ave_comment","ave_repost","ave_attitudes","ave_url","word_ave","ave_emotionnum"
1,0.01853759,0,0,0,0,2.25,0.05,0.999903725
0,0.92377261,0.15,0.1,0.05,1.25,0.875,0.65,0.855825122
0,0.4048583,0.275,0.125,0.05,0.15,1.15625,0.0625,0.637258836
1,0.058024342,0.128205128,0,0,0.102564103,0.025641026,0.333333333,0.648960326
0,0.996520538,0.473684211,16.23684211,7.394736842,78.92105263,0.696969697,0.151515152,0.76681848
0,0.386422977,0.717948718,0.948717949,0.384615385,0.538461538,3.166666667,1,0.722990266
1,0.020247173,0,0,0,0,0.025641026,0.974358974,0.715652228
0,0.251243781,0.305555556,1.361111111,0.083333333,1.194444444,0.828571429,0.971428571,0.522332341
1,0.183793498,0.888888889,0,0,0,0.055555556,0.5,0.627793794
1,0.0125,0.9,0,0,0,2.725,0.025,0.062543133
1,0.019984822,0,0,0,0,0,0.918918919,0.783155846
0,0.622857143,0.435897436,0.41025641,0,0.307692308,0.413793103,0.75862069,0.680920689
1,0.042632332,0,0,0,0.076923077,0,0.435897436,0.775012496
1,0.010206685,0,0,0,0,0,0.567567568,0.764567099
0,0.644067797,0.435897436,0.41025641,0,0.923076923,0.210526316,0.605263158,0.70471338
1,0.010540541,0,0,0,0,0.026315789,0.815789474,0.763413148
0,0.268602541,0.192307692,0,0.038461538,0.230769231,0.958333333,0.208333333,0.643537736
0,0.470752089,0.125,1,0,3.15625,0.344827586,0.655172414,0.61952895
1,0.235092235,0,0,0,0,0.025641026,0.512820513,0.754391682
1,0.063176895,0,0,0,0,3,0.447368421,0.956146071
0,0.869324911,0.743589744,2.487179487,1.051282051,2.717948718,0.694444444,0.25,0.588038734
0,0.187725632,0.04,0.24,0,0.64,2.041666667,0.333333333,0.938063616
0,0.53539823,0.162162162,0.162162162,0.027027027,0.189189189,0.810810811,0.72972973,0.758484037
1,0.053527228,0,0,0,0,0,0.777777778,0.785965439
0,0.974870831,0.514285714,0.285714286,0.028571429,0.571428571,1.333333333,0.303030303,0.645750683
0,0.677083333,0.083333333,2.125,0,1.875,0.375,0.5,0.615440285
1,0.1232493,0.1,0.025,0.025,0.125,0.05,0.625,0.668887745
0,0.736842105,0.4,0,0.2,1.2,1.75,1.25,0.62412206
0,0.279894875,0.775,0.125,0.325,0.425,2.6,1.7,0.732826626
0,0.963522417,0.230769231,1.692307692,0.307692308,7.230769231,0.692307692,0.230769231,0.713585431
0,0.660714286,0.026315789,8.473684211,0,7.131578947,1.052631579,0.210526316,0.776940399
1,0.272604588,0.4375,0,0,0,0.28125,0.84375,0.793836988
1,0.019838354,0,0,0,0,0,1.052631579,0.722336353
0,0.727411945,0.540540541,1.486486486,0.108108108,4.081081081,1.483870968,0.774193548,0.664705874
0,0.139823009,0.4,0.142857143,0.028571429,0.657142857,0.133333333,0.2,0.600325448
1,0.285714286,0,0,0,0.025,0,0.675,0.766762844
1,0.029857023,0,0.045454545,0,0.090909091,0,1.090909091,0.723237502
1,0.021005729,0,0,0,0,0,1.086956522,0.80948005
1,0.059115337,0.120634915,0,0,0.036814258,0.010416666,0.504229343,0.787725023
1,0.01384708,0,0.054054054,0,0.027027027,0,1.081081081,0.710745453
1,0.001689189,0.315789474,0.315789474,0.368421053,0.098830409,1.020175438,0.375,0.879230254
0,0.675531915,0.868421053,0.026315789,0,0.078947368,0.894736842,0.315789474,0.592665551
0,0.677142857,0.088235294,0.941176471,0,5.352941176,0.21875,0.78125,0.759438276
1,0.063728093,0.2,0,0,0.25,0.128205128,0.564102564,0.809077952
1,0.121182266,0.512820513,0.076923077,0.179487179,1.102564103,0.857142857,0.942857143,0.850903207
0,0.759590793,0.121212121,0.878787879,0.03030303,0.393939394,0.6,0.266666667,0.559436607
0,0.382608696,0.705882353,0.558823529,0,2.088235294,1.541666667,0.916666667,0.605261539
1,0.047586443,0,0,0,0.15,0,0.5,0.699757804
0,0.608391608,0.066666667,2.166666667,0,2.133333333,0.103448276,0.896551724,0.708078745
1,0.001937984,0.333333333,0,0,0.008333333,0.692307692,0.410897436,0.785322781
1,0.031589588,0,0.025641026,0,0,0.025641026,1.076923077,0.714720532
0,0.092209857,0.157894737,0.947368421,0,1.421052632,0.842105263,0.526315789,0.773036182
1,0.188048246,0,0,0,0,0.028571429,0.857142857,0.703276142
1,0.243303571,0,0,0,0,0,0.333333333,0.694750568
0,0.64246824,0.342105263,0.947368421,0.078947368,0.552631579,0.5,0.555555556,0.63726654
0,0.879515092,0.621621622,0.243243243,3.702702703,0.891891892,2.1,0.25,0.837930994
0,0.316326531,0.057142857,3.142857143,0,1.028571429,0.428571429,0.371428571,0.704492047
0,0.472838923,0.263157895,0.947368421,0.026315789,1.815789474,0.736842105,0.447368421,0.445904925
1,0.017492711,0,0,0,0,0.052631579,0.684210526,0.585381548
0,0.575667656,0.243243243,1.27027027,0.027027027,0.513513514,0.864864865,0.459459459,0.56187185
0,0.335294118,0.435897436,0.179487179,0,0.153846154,0.086956522,0.217391304,0.721815807
0,0.628164557,0.03125,0.78125,0.0625,0.78125,0.0625,0.46875,0.6397931
1,0.062590274,0.613905344,0.01642956,0,0,3.609816766,0.506562418,0.517089159
0,0.784596871,0.076923077,3.769230769,0,3.923076923,0.256410256,0.102564103,0.620923732
0,0.5234375,0.153846154,0.128205128,1.025641026,0.205128205,0.794871795,0.487179487,0.64734448
1,0.022104999,0,0.078947368,0,0.052631579,0,0.710526316,0.76365528
1,0.041875284,0,0,0,0.075,0,0.75,0.782250969
1,0.000236072,0.9,0,0,0,2.8,2.8,0.099682362
0,0.189248895,0.615384615,0.179487179,0,0.384615385,1,0.628571429,0.805550616
1,0.040743779,0,0,0,0.076923077,0,0.435897436,0.730731742
1,0.048114434,0,0,0,0,0,0.58974359,0.678741054
0,0.142857143,0.028571429,0.742857143,0,0.971428571,0.8,1.028571429,0.898717811
0,0.217061611,0.051282051,0.384615385,0,0.358974359,0,0.108108108,0.625693327
0,0.752603082,0.225,1.425,0,1,0.230769231,0.205128205,0.610087714
0,0.39275766,0.575,0.15,0,0.3,0.65,0.225,0.588605302
0,0.41547619,0.5625,0.28125,0.03125,0.71875,0.65,0.55,0.736528047
1,0.012223071,0,0.025641026,0,0,0.025641026,0.897435897,0.716036831
0,0.945762712,0,1.769230769,0.051282051,3.461538462,0.769230769,0.564102564,0.741886799
0,0.064220183,1,0,0.027777778,0.055555556,1.5,0.5,0.69963991
0,0.262711864,0.95,0.05,0,0.075,2.846153846,0.846153846,0.634597137
0,0.544724771,0.864864865,0.135135135,0.297297297,5.108108108,1.214285714,0.214285714,0.540352933
1,0.000699301,0,0,0.025,0.025,0.025,0.6,0.680681388
0,0.694241687,0.578947368,0.052631579,0,0.368421053,0.457142857,0.371428571,0.492273232
1,0.054684188,0,0,0,0,0,0.525,0.656496293
0,0.650915388,0,0.147058824,0,0.911764706,1.058823529,0.529411765,0.92058988
1,0.023742455,0,0,0,0,0,0.864864865,0.572177614
0,0.418352941,0.85,0,0,0.05,0.666666667,1.166666667,0.744032106
0,0.742524917,0,0.75,0.05,0.625,0.1,0.05,0.708651071
1,0.016745006,0,0,0,0.027027027,0,0.756756757,0.79070687
1,0.061586938,0.538461538,0.153846154,0.076923077,0.717948718,1.03030303,0.848484848,0.822009261
0,0.352808989,0.285714286,1.428571429,0,3.571428571,1,0.833333333,0.603666136
0,0.435967302,0.027027027,0.72972973,0.027027027,2.189189189,0.837837838,0.27027027,0.629672281
0,0.66779661,0.125,0.25,0.041666667,0.416666667,0.181818182,1,0.8791422
1,0.179163249,0,0,0,0.15,0,0.6,0.761075001
1,0.004625347,0,0,0,0,0.052188552,0.795735123,0.738405654
0,0.387537994,0.394736842,2.605263158,0.078947368,3.210526316,0.540540541,0.378378378,0.738315477
1,0.010544815,1,0,0,0,1,0,0.307623921
0,0.460759494,0,3.289473684,0.052631579,0.947368421,0.578947368,1.605263158,0.649251847
0,0.23030303,0.026315789,0.605263158,0,0.552631579,0.157894737,0.421052632,0.66709895
